################################################################
# abuse.ch URLhaus Database Dump (CSV - online URLs only)      #
# Last updated: 2023-02-28 21:50:22 (UTC)                      #
#                                                              #
# Terms Of Use: https://urlhaus.abuse.ch/api/                  #
# For questions please contact urlhaus [at] abuse.ch           #
################################################################
#
# id,dateadded,url,url_status,threat,tags,urlhaus_link,reporter
"2553757","2023-02-28 21:50:22","http://27.207.226.3:34454/bin.sh","online","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2553757/","geenensp"
"2553754","2023-02-28 21:48:23","http://163.182.240.22:48307/i","online","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2553754/","geenensp"
"2553753","2023-02-28 21:46:25","http://27.193.28.166:44542/i","online","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2553753/","geenensp"
"2553752","2023-02-28 21:45:23","http://123.130.148.174:33141/bin.sh","online","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2553752/","geenensp"
"2553750","2023-02-28 21:42:12","http://39.33.126.241:59499/mozi.m","online","malware_download","Mozi","https://urlhaus.abuse.ch/url/2553750/","tammeto"
"2553749","2023-02-28 21:40:13","http://223.9.121.50:57423/.i","online","malware_download","hajime","https://urlhaus.abuse.ch/url/2553749/","geenensp"
"2553746","2023-02-28 21:18:19","http://78.180.182.133:42300/i","online","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2553746/","geenensp"
"2553745","2023-02-28 21:13:10","http://78.180.182.133:42300/bin.sh","online","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2553745/","geenensp"
"2553744","2023-02-28 21:07:21","http://112.248.103.103:57879/i","online","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2553744/","geenensp"
"2553740","2023-02-28 21:04:15","http://61.1.235.66:58656/Mozi.m","online","malware_download","mirai,Mozi","https://urlhaus.abuse.ch/url/2553740/","Gandylyan1"
"2553741","2023-02-28 21:04:15","http://117.212.162.181:57516/Mozi.m","online","malware_download","Mozi","https://urlhaus.abuse.ch/url/2553741/","Gandylyan1"
"2553739","2023-02-28 21:04:10","http://112.30.38.98:51542/i","online","malware_download","32-bit,arm,elf,mirai,Mozi","https://urlhaus.abuse.ch/url/2553739/","geenensp"
"2553734","2023-02-28 21:03:19","http://117.216.26.186:53374/Mozi.m","online","malware_download","Mozi","https://urlhaus.abuse.ch/url/2553734/","Gandylyan1"
"2553733","2023-02-28 21:03:14","http://182.116.12.83:46421/i","online","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2553733/","geenensp"
"2553732","2023-02-28 21:03:12","http://59.88.237.134:55021/Mozi.m","online","malware_download","Mozi","https://urlhaus.abuse.ch/url/2553732/","Gandylyan1"
"2553730","2023-02-28 21:03:11","http://115.49.211.223:48128/Mozi.m","online","malware_download","Mozi","https://urlhaus.abuse.ch/url/2553730/","Gandylyan1"
"2553731","2023-02-28 21:03:11","http://115.49.72.120:33912/Mozi.m","online","malware_download","Mozi","https://urlhaus.abuse.ch/url/2553731/","Gandylyan1"
"2553728","2023-02-28 21:03:10","http://182.116.55.181:43346/Mozi.m","online","malware_download","Mozi","https://urlhaus.abuse.ch/url/2553728/","Gandylyan1"
"2553729","2023-02-28 21:03:10","http://42.229.192.101:55074/Mozi.m","online","malware_download","Mozi","https://urlhaus.abuse.ch/url/2553729/","Gandylyan1"
"2553727","2023-02-28 21:03:05","http://190.141.240.125:38734/Mozi.m","online","malware_download","mirai,Mozi","https://urlhaus.abuse.ch/url/2553727/","Gandylyan1"
"2553726","2023-02-28 21:03:04","http://42.231.110.239:39591/Mozi.m","online","malware_download","Mozi","https://urlhaus.abuse.ch/url/2553726/","Gandylyan1"
"2553724","2023-02-28 20:56:25","http://113.245.174.229:35732/i","online","malware_download","32-bit,arm,elf,mirai,Mozi","https://urlhaus.abuse.ch/url/2553724/","geenensp"
"2553723","2023-02-28 20:56:20","http://182.123.195.219:44559/i","online","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2553723/","geenensp"
"2553722","2023-02-28 20:55:14","http://114.227.225.131:56872/.i","online","malware_download","hajime","https://urlhaus.abuse.ch/url/2553722/","geenensp"
"2553721","2023-02-28 20:47:12","http://49.72.113.252:55114/.i","online","malware_download","hajime","https://urlhaus.abuse.ch/url/2553721/","geenensp"
"2553718","2023-02-28 20:38:20","http://182.116.12.83:46421/bin.sh","online","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2553718/","geenensp"
"2553717","2023-02-28 20:29:20","http://112.30.38.98:51542/bin.sh","online","malware_download","32-bit,arm,elf,mirai,Mozi","https://urlhaus.abuse.ch/url/2553717/","geenensp"
"2553716","2023-02-28 20:21:16","http://59.99.45.14:52419/i","online","malware_download",",32-bit,elf,mips","https://urlhaus.abuse.ch/url/2553716/","geenensp"
"2553715","2023-02-28 20:19:18","http://39.90.150.148:38904/i","online","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2553715/","geenensp"
"2553711","2023-02-28 20:11:06","http://123.175.98.139:48725/.i","online","malware_download","hajime","https://urlhaus.abuse.ch/url/2553711/","geenensp"
"2553710","2023-02-28 20:09:14","http://182.56.224.36:57404/i","online","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2553710/","geenensp"
"2553709","2023-02-28 20:08:10","http://42.229.153.136:33042/bin.sh","online","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2553709/","geenensp"
"2553706","2023-02-28 19:58:31","http://191.199.232.52:43530/i","online","malware_download","32-bit,arm,elf,mirai,Mozi","https://urlhaus.abuse.ch/url/2553706/","geenensp"
"2553705","2023-02-28 19:57:12","http://114.228.101.13:32325/.i","online","malware_download","hajime","https://urlhaus.abuse.ch/url/2553705/","geenensp"
"2553704","2023-02-28 19:56:25","http://123.14.186.74:57754/i","online","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2553704/","geenensp"
"2553703","2023-02-28 19:56:20","http://182.115.65.205:44125/i","online","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2553703/","geenensp"
"2553702","2023-02-28 19:54:26","http://42.239.177.130:46350/i","online","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2553702/","geenensp"
"2553701","2023-02-28 19:51:27","http://60.214.35.130:58641/bin.sh","online","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2553701/","geenensp"
"2553700","2023-02-28 19:51:21","http://42.234.237.126:33742/i","online","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2553700/","geenensp"
"2553699","2023-02-28 19:50:23","http://117.241.184.61:60357/mozi.a","online","malware_download","mirai","https://urlhaus.abuse.ch/url/2553699/","tammeto"
"2553698","2023-02-28 19:47:13","http://39.33.110.135:46294/i","online","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2553698/","geenensp"
"2553697","2023-02-28 19:46:19","http://182.114.194.41:49380/i","online","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2553697/","geenensp"
"2553696","2023-02-28 19:45:20","http://39.90.150.148:38904/bin.sh","online","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2553696/","geenensp"
"2553695","2023-02-28 19:45:14","http://27.220.84.102:56599/i","online","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2553695/","geenensp"
"2553694","2023-02-28 19:36:23","http://163.182.249.190:37887/i","online","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2553694/","geenensp"
"2553692","2023-02-28 19:32:21","http://223.13.85.26:1491/.i","online","malware_download","elf,hajime","https://urlhaus.abuse.ch/url/2553692/","tolisec"
"2553691","2023-02-28 19:30:13","http://182.116.49.20:56309/i","online","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2553691/","geenensp"
"2553690","2023-02-28 19:28:20","http://182.121.132.215:34090/bin.sh","online","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2553690/","geenensp"
"2553688","2023-02-28 19:26:16","http://182.122.244.242:37401/i","online","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2553688/","geenensp"
"2553685","2023-02-28 19:22:06","http://185.216.71.69/arm","online","malware_download","elf","https://urlhaus.abuse.ch/url/2553685/","tolisec"
"2553686","2023-02-28 19:22:06","http://185.216.71.69/arm7","online","malware_download","elf,mirai","https://urlhaus.abuse.ch/url/2553686/","tolisec"
"2553683","2023-02-28 19:21:23","http://39.33.110.135:46294/bin.sh","online","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2553683/","geenensp"
"2553682","2023-02-28 19:20:11","http://182.116.122.77:36602/i","online","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2553682/","geenensp"
"2553681","2023-02-28 19:18:20","http://182.122.244.242:37401/bin.sh","online","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2553681/","geenensp"
"2553679","2023-02-28 19:15:24","http://182.116.122.77:36602/bin.sh","online","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2553679/","geenensp"
"2553678","2023-02-28 19:14:11","http://219.156.43.82:48093/i","online","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2553678/","geenensp"
"2553676","2023-02-28 19:06:12","http://113.26.88.151:39560/.i","online","malware_download","hajime","https://urlhaus.abuse.ch/url/2553676/","geenensp"
"2553675","2023-02-28 19:00:09","http://117.88.228.70:58756/.i","online","malware_download","hajime","https://urlhaus.abuse.ch/url/2553675/","geenensp"
"2553674","2023-02-28 18:59:11","http://94.130.110.172/opesourse-software-online.exe","online","malware_download","exe","https://urlhaus.abuse.ch/url/2553674/","abuse_ch"
"2553673","2023-02-28 18:53:07","https://dcvofa.bn.files.1drv.com/y4m3rGdkG5XwynoLHdgJwBqn13P6B9lbeeIhGO5gR80F8F7mHxZIZlbWyqB_iDs77BenN8-_w8f_VQFs_0qCfC_DERw7If3QWrs9yN67b-bMeuPN_iFcxsKIwdE84XR4p71lxmF2BrTBzgD9eqLqHwLLpCrg7VZIWZj7NKEspbn-Ljloh43IDcvW7JD5vrOk8KNz4w1h6cPvWD5daiqzF06-Q","online","malware_download","zip","https://urlhaus.abuse.ch/url/2553673/","JobcenterTycoon"
"2553672","2023-02-28 18:51:22","http://182.116.49.20:56309/bin.sh","online","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2553672/","geenensp"
"2553671","2023-02-28 18:51:21","http://61.53.73.63:37352/bin.sh","online","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2553671/","geenensp"
"2553668","2023-02-28 18:47:11","http://182.127.128.133:47464/i","online","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2553668/","geenensp"
"2553666","2023-02-28 18:42:19","https://who-like.click/files.zip","online","malware_download","zip","https://urlhaus.abuse.ch/url/2553666/","JobcenterTycoon"
"2553665","2023-02-28 18:42:07","https://unigifts.net/upload/File_pass1234.zip","online","malware_download","1234,Password-protected,zip","https://urlhaus.abuse.ch/url/2553665/","JobcenterTycoon"
"2553664","2023-02-28 18:40:25","http://182.127.128.133:47464/bin.sh","online","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2553664/","geenensp"
"2553663","2023-02-28 18:38:25","http://182.56.205.76:60403/i","online","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2553663/","geenensp"
"2553662","2023-02-28 18:38:19","http://112.220.89.114:54048/i","online","malware_download","32-bit,arm,elf,mirai,Mozi","https://urlhaus.abuse.ch/url/2553662/","geenensp"
"2553661","2023-02-28 18:36:23","http://123.10.230.200:41640/i","online","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2553661/","geenensp"
"2553660","2023-02-28 18:35:22","http://183.82.120.145:47190/i","online","malware_download","32-bit,arm,elf,mirai,Mozi","https://urlhaus.abuse.ch/url/2553660/","geenensp"
"2553659","2023-02-28 18:34:20","http://120.43.35.57:39729/i","online","malware_download","32-bit,arm,elf,mirai,Mozi","https://urlhaus.abuse.ch/url/2553659/","geenensp"
"2553658","2023-02-28 18:30:33","http://182.114.8.205:53570/i","online","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2553658/","geenensp"
"2553655","2023-02-28 18:26:12","http://121.234.159.85:17024/.i","online","malware_download","hajime","https://urlhaus.abuse.ch/url/2553655/","geenensp"
"2553654","2023-02-28 18:13:11","http://117.211.46.186:48656/i","online","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2553654/","geenensp"
"2553653","2023-02-28 18:13:10","http://182.121.42.49:44094/i","online","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2553653/","geenensp"
"2553652","2023-02-28 18:08:27","http://42.233.93.237:34435/i","online","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2553652/","geenensp"
